customerID,Churn_Probabilité,Risque_Churn,Recommandation_Marketing
5192-EBGOV,0.8806207478707669,Haut,Offrir une réduction fidélité ou un bonus si engagement renouvelé
6502-MJQAE,0.8478177525884498,Haut,Offrir une réduction fidélité ou un bonus si engagement renouvelé
5928-QLDHB,0.7039641402126184,Haut,Envoyer un email de satisfaction + enquête + bonus éventuel
3049-NDXFL,0.8622999052150394,Haut,Offrir une réduction fidélité ou un bonus si engagement renouvelé
4929-XIHVW,0.8040394867707817,Haut,Offrir une réduction fidélité ou un bonus si engagement renouvelé
4927-WWOOZ,0.8302502049579872,Haut,Offrir une réduction fidélité ou un bonus si engagement renouvelé
1724-BQUHA,0.7105477443086667,Haut,Envoyer un email de satisfaction + enquête + bonus éventuel
7024-OHCCK,0.8930679020101067,Haut,Offrir une réduction fidélité ou un bonus si engagement renouvelé
5919-TMRGD,0.8527276656587688,Haut,Offrir une réduction fidélité ou un bonus si engagement renouvelé
0328-GRPMV,0.8036831954414096,Haut,Offrir une réduction fidélité ou un bonus si engagement renouvelé
1455-UGQVH,0.8928440635886608,Haut,Offrir une réduction fidélité ou un bonus si engagement renouvelé
5393-RXQSZ,0.8275075622785302,Haut,Offrir une réduction fidélité ou un bonus si engagement renouvelé
7180-PISOG,0.8475053549502567,Haut,Offrir une réduction fidélité ou un bonus si engagement renouvelé
7228-OMTPN,0.7271744027339994,Haut,Envoyer un email de satisfaction + enquête + bonus éventuel
0511-JTEOY,0.7470672248029165,Haut,Envoyer un email de satisfaction + enquête + bonus éventuel
9282-IZGQK,0.8940523459591941,Haut,Offrir une réduction fidélité ou un bonus si engagement renouvelé
4695-WJZUE,0.8945850890856353,Haut,Offrir une réduction fidélité ou un bonus si engagement renouvelé
2868-MZAGQ,0.8511854420621375,Haut,Offrir une réduction fidélité ou un bonus si engagement renouvelé
9300-RENDD,0.8568203063198988,Haut,Offrir une réduction fidélité ou un bonus si engagement renouvelé
2545-EBUPK,0.8542780527428356,Haut,Offrir une réduction fidélité ou un bonus si engagement renouvelé
0970-ETWGE,0.8455718525487419,Haut,Offrir une réduction fidélité ou un bonus si engagement renouvelé
1219-NNDDO,0.7039641402126184,Haut,Envoyer un email de satisfaction + enquête + bonus éventuel
8337-UPOAQ,0.7774328049279058,Haut,Envoyer un email de satisfaction + enquête + bonus éventuel
5134-IKDAY,0.8478177525884498,Haut,Offrir une réduction fidélité ou un bonus si engagement renouvelé
1579-KLYDT,0.7371078223281198,Haut,Envoyer un email de satisfaction + enquête + bonus éventuel
0637-KVDLV,0.7871793999268225,Haut,Envoyer un email de satisfaction + enquête + bonus éventuel
8644-XLFBW,0.8240311943586176,Haut,Offrir une réduction fidélité ou un bonus si engagement renouvelé
4102-OQUPX,0.8686324506398115,Haut,Offrir une réduction fidélité ou un bonus si engagement renouvelé
3177-LASXD,0.7659446433215268,Haut,Envoyer un email de satisfaction + enquête + bonus éventuel
1465-VINDH,0.7844268975664773,Haut,Envoyer un email de satisfaction + enquête + bonus éventuel
6615-NGGZJ,0.7740052708621671,Haut,Envoyer un email de satisfaction + enquête + bonus éventuel
3877-JRJIP,0.7466389549250777,Haut,Envoyer un email de satisfaction + enquête + bonus éventuel
2868-SNELZ,0.7392879940618055,Haut,Envoyer un email de satisfaction + enquête + bonus éventuel
6857-VWJDT,0.8525571907705684,Haut,Offrir une réduction fidélité ou un bonus si engagement renouvelé
7858-GTZSP,0.7503581624644436,Haut,Envoyer un email de satisfaction + enquête + bonus éventuel
1866-OBPNR,0.7034809518779109,Haut,Envoyer un email de satisfaction + enquête + bonus éventuel
1496-GGSUK,0.760142966440689,Haut,Envoyer un email de satisfaction + enquête + bonus éventuel
3992-YWPKO,0.7451985507396077,Haut,Envoyer un email de satisfaction + enquête + bonus éventuel
3988-RQIXO,0.8666787390005533,Haut,Offrir une réduction fidélité ou un bonus si engagement renouvelé
7598-UAASY,0.7405859984977323,Haut,Envoyer un email de satisfaction + enquête + bonus éventuel
4910-GMJOT,0.9062236615689846,Haut,Contacter immédiatement avec une offre exclusive + appel téléphonique personnalisé
9507-EXLTT,0.8407071262896131,Haut,Offrir une réduction fidélité ou un bonus si engagement renouvelé
9124-LHCJQ,0.8878365642708305,Haut,Offrir une réduction fidélité ou un bonus si engagement renouvelé
9330-IJWIO,0.7261061780404056,Haut,Envoyer un email de satisfaction + enquête + bonus éventuel
5834-ASPWA,0.7448681750267263,Haut,Envoyer un email de satisfaction + enquête + bonus éventuel
4132-KALRO,0.8640179306707746,Haut,Offrir une réduction fidélité ou un bonus si engagement renouvelé
2430-USGXP,0.7164193703592759,Haut,Envoyer un email de satisfaction + enquête + bonus éventuel
3198-VELRD,0.8619682169884993,Haut,Offrir une réduction fidélité ou un bonus si engagement renouvelé
6060-DRTNL,0.7353774246499585,Haut,Envoyer un email de satisfaction + enquête + bonus éventuel
0306-JAELE,0.8138370166787534,Haut,Offrir une réduction fidélité ou un bonus si engagement renouvelé
4060-LDNLU,0.821155467398108,Haut,Offrir une réduction fidélité ou un bonus si engagement renouvelé
9185-TQCVP,0.7562973592543533,Haut,Envoyer un email de satisfaction + enquête + bonus éventuel
9957-YODKZ,0.7562912806576417,Haut,Envoyer un email de satisfaction + enquête + bonus éventuel
5186-SAMNZ,0.837312876759106,Haut,Offrir une réduction fidélité ou un bonus si engagement renouvelé
0220-EBGCE,0.8282056914331826,Haut,Offrir une réduction fidélité ou un bonus si engagement renouvelé
1977-STDKI,0.764407699723667,Haut,Envoyer un email de satisfaction + enquête + bonus éventuel
1628-BIZYP,0.8046182274419056,Haut,Offrir une réduction fidélité ou un bonus si engagement renouvelé
2034-GDRCN,0.7555083875113761,Haut,Envoyer un email de satisfaction + enquête + bonus éventuel
0680-DFNNY,0.7410382414908514,Haut,Envoyer un email de satisfaction + enquête + bonus éventuel
7145-FEJWU,0.7422688096476616,Haut,Envoyer un email de satisfaction + enquête + bonus éventuel
8042-JVNFH,0.7847523521515728,Haut,Envoyer un email de satisfaction + enquête + bonus éventuel
6892-EZDTG,0.7661268464655718,Haut,Envoyer un email de satisfaction + enquête + bonus éventuel
8083-YTZES,0.7566368046894824,Haut,Envoyer un email de satisfaction + enquête + bonus éventuel
4342-HENTK,0.7114951165187248,Haut,Envoyer un email de satisfaction + enquête + bonus éventuel
4597-NUCQV,0.7145670910621337,Haut,Envoyer un email de satisfaction + enquête + bonus éventuel
3068-OMWZA,0.9155810857646799,Haut,Contacter immédiatement avec une offre exclusive + appel téléphonique personnalisé
0702-PGIBZ,0.8594551366301271,Haut,Offrir une réduction fidélité ou un bonus si engagement renouvelé
5357-TZHPP,0.7592365150721565,Haut,Envoyer un email de satisfaction + enquête + bonus éventuel
9094-AZPHK,0.7214551827263253,Haut,Envoyer un email de satisfaction + enquête + bonus éventuel
2880-FPNAE,0.7734125523625455,Haut,Envoyer un email de satisfaction + enquête + bonus éventuel
2424-WVHPL,0.7094007272937938,Haut,Envoyer un email de satisfaction + enquête + bonus éventuel
2642-DTVCO,0.7978991968846397,Haut,Envoyer un email de satisfaction + enquête + bonus éventuel
8161-QYMTT,0.8257379857264149,Haut,Offrir une réduction fidélité ou un bonus si engagement renouvelé
8945-GRKHX,0.8275075622785302,Haut,Offrir une réduction fidélité ou un bonus si engagement renouvelé
0375-HVGXO,0.7777135492150686,Haut,Envoyer un email de satisfaction + enquête + bonus éventuel
2468-SJFLM,0.7095292826187857,Haut,Envoyer un email de satisfaction + enquête + bonus éventuel
4871-JTKJF,0.8579577719995729,Haut,Offrir une réduction fidélité ou un bonus si engagement renouvelé
2369-UAPKZ,0.7555043217624515,Haut,Envoyer un email de satisfaction + enquête + bonus éventuel
6407-UTSLV,0.7206925231115738,Haut,Envoyer un email de satisfaction + enquête + bonus éventuel
9300-AGZNL,0.8834084338167937,Haut,Offrir une réduction fidélité ou un bonus si engagement renouvelé
7216-EWTRS,0.9304395510507388,Haut,Contacter immédiatement avec une offre exclusive + appel téléphonique personnalisé
9317-WZPGV,0.7276086319695231,Haut,Envoyer un email de satisfaction + enquête + bonus éventuel
3276-HDUEG,0.8327615058545637,Haut,Offrir une réduction fidélité ou un bonus si engagement renouvelé
3677-IYRBF,0.8287586095481527,Haut,Offrir une réduction fidélité ou un bonus si engagement renouvelé
7594-RQHXR,0.8511854420621375,Haut,Offrir une réduction fidélité ou un bonus si engagement renouvelé
7235-NXZCP,0.7420326048309916,Haut,Envoyer un email de satisfaction + enquête + bonus éventuel
0122-OAHPZ,0.716738273366891,Haut,Envoyer un email de satisfaction + enquête + bonus éventuel
0334-GDDSO,0.7305669072891876,Haut,Envoyer un email de satisfaction + enquête + bonus éventuel
6356-ELRKD,0.7095312287906909,Haut,Envoyer un email de satisfaction + enquête + bonus éventuel
0259-GBZSH,0.795540699203484,Haut,Envoyer un email de satisfaction + enquête + bonus éventuel
8380-PEFPE,0.8119999514801866,Haut,Offrir une réduction fidélité ou un bonus si engagement renouvelé
0404-SWRVG,0.7472529041363153,Haut,Envoyer un email de satisfaction + enquête + bonus éventuel
9546-CQJSU,0.8410897482603499,Haut,Offrir une réduction fidélité ou un bonus si engagement renouvelé
0723-DRCLG,0.8686324506398115,Haut,Offrir une réduction fidélité ou un bonus si engagement renouvelé
4603-JANFB,0.8478177525884498,Haut,Offrir une réduction fidélité ou un bonus si engagement renouvelé
8775-LHDJH,0.8437369778845034,Haut,Offrir une réduction fidélité ou un bonus si engagement renouvelé
0742-NXBGR,0.8023169851886072,Haut,Offrir une réduction fidélité ou un bonus si engagement renouvelé
6567-HOOPW,0.8644372542966576,Haut,Offrir une réduction fidélité ou un bonus si engagement renouvelé
4550-EVXNY,0.8478177525884498,Haut,Offrir une réduction fidélité ou un bonus si engagement renouvelé
1197-BVMVG,0.7777929836854991,Haut,Envoyer un email de satisfaction + enquête + bonus éventuel
7074-IEVOJ,0.7422235048846724,Haut,Envoyer un email de satisfaction + enquête + bonus éventuel
8473-VUVJN,0.8571414416327052,Haut,Offrir une réduction fidélité ou un bonus si engagement renouvelé
